PR ID,PR URL,Ricardo_Pattern,Ricardo_Sub_Pattern,Huiyun_Pattern,Huiyun_Sub_Pattern,Final_Pattern,Final_Sub_Pattern
3136694740,https://github.com/liam-hq/liam/pull/1985,Memory and Data Locality Optimizations,Optimize Object Use,Memory and Data Locality Optimizations,Optimize Object Use,Memory and Data Locality Optimizations,Optimize Object Use
3137786825,https://github.com/jodendaal/OpenAI.Net/pull/89,Memory and Data Locality Optimizations,Optimize Object Use,Data Structure Selection and Adaptation,Darwinian Data Structure Selection,Data Structure Selection and Adaptation,Darwinian Data Structure Selection
3052357500,https://github.com/appdotbuild/agent/pull/185,No Meaningful Change or Not Performance PR,,Build & Compilation & Infrastructure Optimization,Performance-Optimized Dependency Selection,No Meaningful Change or Not Performance PR,
3053325093,https://github.com/calcom/cal.com/pull/21217,Code Smells and Structural Simplification,Remove Unnecessary Method Calls,Algorithm-Level Optimizations,Select Algorithm Based on Instruction Speed,Code Smells and Structural Simplification,Remove Unnecessary Method Calls
3161909204,https://github.com/ateliee/jquery.schedule/pull/58,Memory and Data Locality Optimizations,Caching,Memory and Data Locality Optimizations,Caching,Memory and Data Locality Optimizations,Caching
3046430027,https://github.com/calcom/cal.com/pull/21162,I/O and Synchronization,Batch API Requests (N+1),"Network, Database, and Data Access Optimization",Batch API Requests (N+1),"Network, Database, and Data Access Optimization",Batch API Requests (N+1)
3070227634,https://github.com/calcom/cal.com/pull/21372,I/O and Synchronization,,I/O and Synchronization,,I/O and Synchronization,Enable Multi-threading
3146354845,https://github.com/ReactiveCircus/android-emulator-runner/pull/436,No Meaningful Change or Not Performance PR,,Memory and Data Locality Optimizations,Buffering,No Meaningful Change or Not Performance PR,
2887787232,https://github.com/stack-auth/stack-auth/pull/495,Build & Compilation & Infrastructure Optimization,Lazy Loading / Deferred Initialization,"Network, Database, and Data Access Optimization",Lazy Loading / Deferred Initialization,"Network, Database, and Data Access Optimization",Lazy Loading / Deferred Initialization
3151604419,https://github.com/assistant-ui/assistant-ui/pull/2113,Memory and Data Locality Optimizations,Optimize Object Use,Memory and Data Locality Optimizations,Caching,Memory and Data Locality Optimizations,Optimize Object Use
2766896431,https://github.com/onlook-dev/onlook/pull/982,Build & Compilation & Infrastructure Optimization,Performance-Optimized Dependency Selection,Build & Compilation & Infrastructure Optimization,Performance-Optimized Dependency Selection,Build & Compilation & Infrastructure Optimization,Performance-Optimized Dependency Selection
2927184629,https://github.com/onlook-dev/onlook/pull/1634,Algorithm-Level Optimizations,Event-Driven Throttling,Algorithm-Level Optimizations,Event-Driven Throttling,Algorithm-Level Optimizations,Event-Driven Throttling
2843312341,https://github.com/promptfoo/promptfoo/pull/3046,Memory and Data Locality Optimizations,Caching,Memory and Data Locality Optimizations,Caching,Memory and Data Locality Optimizations,Caching
2843334531,https://github.com/promptfoo/promptfoo/pull/3047,Memory and Data Locality Optimizations,Caching,Memory and Data Locality Optimizations,Caching,Memory and Data Locality Optimizations,Caching
